Plan	Industry	Module	Feature	Details	Per Item Set Up Charges	Item Unit	Common Set Up Fees	Per Item Per Month Maintenances
 Essential	Manufacturing	Users	Business Owner					
 Essential	Manufacturing	Users	Groups Permissions as per requirements					
 Essential	Manufacturing	People	Billers					
 Essential	Manufacturing	People	Customers					
 Essential	Manufacturing	People	Geo Location wise attendance system					
 Essential	Manufacturing	People	Suppliers					
 Essential	Manufacturing	People	Vendors					
 Essential	Manufacturing	Single Location	Single Location			Location	22000	2000
 Professional	Manufacturing	Multi Location 	Charges per location			Location	30000	3000
 Professional	Manufacturing	Multi Location + Multi GST	Charges per location			Location	40000	4000
 Essential	Manufacturing	Products	Barcode creation with Various Sizes & Symbology					
 Essential	Manufacturing	Products	Batch Management					
 Essential	Manufacturing	Products	Batchwise COA					
 Essential	Manufacturing	Products	Bulk Product Import					
 Essential	Manufacturing	Products	Catalog Management					
 Essential	Manufacturing	Products	Category Level Price Wise Tax Slab					
 Essential	Manufacturing	Products	Count Stock					
 Essential	Manufacturing	Products	Custom  Fields 					
 Essential	Manufacturing	Products	Customer Price Groups at product level					
 Essential	Manufacturing	Products	Expiry Alert					
 Essential	Manufacturing	Products	Inclusive / Exclusive Tax Options					
 Essential	Manufacturing	Products	Inventory Management					
 Essential	Manufacturing	Products	Locationwise Inventory Management					
 Essential	Manufacturing	Products	Product Level Tax % Specification					
 Essential	Manufacturing	Products	Product Types : Combo, Bundle, Loose, Raw Materials, Intermediate Product					
 Essential	Manufacturing	Products	Promotional Prices					
 Essential	Manufacturing	Products	Same Product in Multiple Categories					
 Essential	Manufacturing	Products	Seasonability					
 Essential	Manufacturing	Products	Shelf Life Management					
 Essential	Manufacturing	Products	Stock Alerts					
 Essential	Manufacturing	Products	Stock Check					
 Essential	Manufacturing	Products	Stock Count					
 Essential	Manufacturing	Products	Unlimited Products & Variants					
 Essential	Manufacturing	Products	Variants wise MRP , Cost , Price 					
 Essential	Manufacturing	Tax Management	Export Tally Compatible					
 Essential	Manufacturing	Tax Management	GST Export 					
 Essential	Manufacturing	Tax Management	Inclusive / Exclusive Tax methods					
 Essential	Manufacturing	Tax Management	Multiple Tax Rate Groups					
 Essential	Manufacturing	Tax Management	Product Level / Category Level Taxes					
 Essential	Manufacturing	Payment Modes	Cash					
 Essential	Manufacturing	Payment Modes	Cheque					
 Essential	Manufacturing	Payment Modes	Credit Card					
 Essential	Manufacturing	Payment Modes	Debit Card					
 Essential	Manufacturing	Payment Modes	Deposit					
 Essential	Manufacturing	Payment Modes	Gift Card					
 Essential	Manufacturing	Payment Modes	UPI					
 Essential	Manufacturing	Payment Gateways	CCAvenue				5000	0
 Essential	Manufacturing	Payment Gateways	Paypal				5000	0
 Essential	Manufacturing	Payment Gateways	Razorpay				5000	0
 Enterprise	Manufacturing	CRM	Leads - Customized sales funnel Phases					1000
